feature,coefficient,std_error,log_likelihood,z_stats,p_value
sibling,14.513180350841628,0,-42208.47038378465,0,0
school_413,1.6592043257147058,0,-42208.47038378465,0,0
school_420,0.909639057104974,0,-42208.47038378465,0,0
school_435,1.734718137781142,0,-42208.47038378465,0,0
school_449,-0.3490713617452169,0,-42208.47038378465,0,0
school_497,-0.4715098413569418,0,-42208.47038378465,0,0
school_453,-1.932811471521077,0,-42208.47038378465,0,0
school_456,-1.0706497310416505,0,-42208.47038378465,0,0
school_476,-0.6745411270444375,0,-42208.47038378465,0,0
school_872,0.6487901885533219,0,-42208.47038378465,0,0
school_478,1.7369049427396497,0,-42208.47038378465,0,0
school_485,1.4037822418623356,0,-42208.47038378465,0,0
school_796,1.030508957535699,0,-42208.47038378465,0,0
school_479,2.0929924369519117,0,-42208.47038378465,0,0
school_848,-0.0580159570335431,0,-42208.47038378465,0,0
school_481,-1.444043363518263,0,-42208.47038378465,0,0
school_488,1.1644403522176878,0,-42208.47038378465,0,0
school_490,0.1617615985669983,0,-42208.47038378465,0,0
school_493,-0.9549298892339791,0,-42208.47038378465,0,0
school_729,-0.9716738995663576,0,-42208.47038378465,0,0
school_505,-0.4462268307638244,0,-42208.47038378465,0,0
school_507,-1.5773167073751662,0,-42208.47038378465,0,0
school_509,1.3071184317998037,0,-42208.47038378465,0,0
school_718,0.684934349434686,0,-42208.47038378465,0,0
school_513,-1.4779103685183852,0,-42208.47038378465,0,0
school_521,-1.495750942604101,0,-42208.47038378465,0,0
school_525,-0.4732980149038651,0,-42208.47038378465,0,0
school_537,-0.0540385288145273,0,-42208.47038378465,0,0
school_575,-0.3410304497272026,0,-42208.47038378465,0,0
school_724,-0.5804996367256977,0,-42208.47038378465,0,0
school_539,0.8734240454280042,0,-42208.47038378465,0,0
school_544,1.8667299589233963,0,-42208.47038378465,0,0
school_549,0.3877030364770251,0,-42208.47038378465,0,0
school_562,-0.4654239468715218,0,-42208.47038378465,0,0
school_569,2.2990104733455725,0,-42208.47038378465,0,0
school_589,1.2777555499230628,0,-42208.47038378465,0,0
school_593,-1.3271637425815703,0,-42208.47038378465,0,0
school_603,-0.8142880952488423,0,-42208.47038378465,0,0
school_618,-0.3117186320405766,0,-42208.47038378465,0,0
school_614,-1.459632629665117,0,-42208.47038378465,0,0
school_625,-1.803127089444374,0,-42208.47038378465,0,0
school_638,-0.6935365890963736,0,-42208.47038378465,0,0
school_644,1.595665633940003,0,-42208.47038378465,0,0
school_650,-1.1087190588672842,0,-42208.47038378465,0,0
school_656,-1.3021574635784634,0,-42208.47038378465,0,0
school_664,1.78369819633985,0,-42208.47038378465,0,0
school_670,0.219209238062814,0,-42208.47038378465,0,0
school_676,2.214195800035925,0,-42208.47038378465,0,0
school_782,1.402244117664158,0,-42208.47038378465,0,0
school_680,-0.8688325218414916,0,-42208.47038378465,0,0
school_760,-2.1058133954834317,0,-42208.47038378465,0,0
school_691,-0.9257245986665312,0,-42208.47038378465,0,0
school_714,-0.7455462806152764,0,-42208.47038378465,0,0
school_723,-1.0059436101515329,0,-42208.47038378465,0,0
school_722,1.0159022480675473,0,-42208.47038378465,0,0
school_735,0.8240721334762525,0,-42208.47038378465,0,0
school_746,0.000607609642238,0,-42208.47038378465,0,0
school_750,2.8866859685572086,0,-42208.47038378465,0,0
school_786,-0.8017750670768279,0,-42208.47038378465,0,0
school_790,-0.8563644464415469,0,-42208.47038378465,0,0
school_801,0.6663747022464072,0,-42208.47038378465,0,0
school_814,0.5666906391289633,0,-42208.47038378465,0,0
school_823,1.0570266971957851,0,-42208.47038378465,0,0
school_816,-1.0849865203047535,0,-42208.47038378465,0,0
school_820,-1.0204001463335026,0,-42208.47038378465,0,0
school_830,-1.7148359164004072,0,-42208.47038378465,0,0
school_834,-1.1292852465427503,0,-42208.47038378465,0,0
school_838,-1.2302915028348569,0,-42208.47038378465,0,0
school_842,0.7756532268301837,0,-42208.47038378465,0,0
school_859,-1.1070265117044045,0,-42208.47038378465,0,0
school_862,2.2756735120788822,0,-42208.47038378465,0,0
school_867,-1.7034278925403303,0,-42208.47038378465,0,0
school_876,1.4362212181998963,0,-42208.47038378465,0,0
program_type_GE,-0.3262093673263615,0,-42208.47038378465,0,0
program_type_SE,-1.042433306608234,0,-42208.47038378465,0,0
program_type_SN,1.0540880141560476,0,-42208.47038378465,0,0
program_type_SB,0.5285441504553846,0,-42208.47038378465,0,0
