school_id,cds_school_code,cde_school_name,tk5_n,pct_black,pct_white,pct_asian,pct_hispanic,pct_others,pct_aalpi,source
413,6040695,Alamo Elementary,393,0.01272264631043257,0.2900763358778626,0.356234096692112,0.15012722646310434,0.19083969465648856,0.1628498727735369,CDE CDEnroll2324 TK-5
420,6040703,Alvarado Elementary,518,0.009652509652509652,0.29343629343629346,0.032818532818532815,0.4826254826254826,0.18146718146718147,0.4980694980694981,CDE CDEnroll2324 TK-5
435,6040737,Argonne Elementary,368,0.03260869565217391,0.29347826086956524,0.35597826086956524,0.11684782608695653,0.20108695652173914,0.15489130434782608,CDE CDEnroll2324 TK-5
449,6040752,Carmichael (Bessie)/FEC,372,0.1827956989247312,0.0967741935483871,0.271505376344086,0.271505376344086,0.1774193548387097,0.46774193548387094,CDE CDEnroll2324 TK-5
453,6040760,Harte (Bret) Elementary,247,0.17813765182186234,0.008097165991902834,0.016194331983805668,0.611336032388664,0.1862348178137652,0.8744939271255061,CDE CDEnroll2324 TK-5
456,6040778,Bryant Elementary,240,0.05416666666666667,0.016666666666666666,0.0,0.8791666666666667,0.05,0.9375,CDE CDEnroll2324 TK-5
476,6089569,Lee (Edwin and Anita) Newcomer,12,0.0,0.0,1.0,0.0,0.0,0.0,CDE CDEnroll2324 TK-5
478,6040828,Clarendon Alternative Elementary,529,0.03213610586011342,0.2627599243856333,0.30245746691871456,0.11531190926275993,0.28733459357277885,0.14744801512287334,CDE CDEnroll2324 TK-5
479,6102479,Lilienthal (Claire) Elementary,472,0.07627118644067797,0.2584745762711864,0.3135593220338983,0.11016949152542373,0.24152542372881355,0.1864406779661017,CDE CDEnroll2324 TK-5
481,6040836,Cleveland Elementary,306,0.016339869281045753,0.0032679738562091504,0.058823529411764705,0.8496732026143791,0.0718954248366013,0.8790849673202614,CDE CDEnroll2324 TK-5
485,6113245,Yu (Alice Fong) Elementary,395,0.05822784810126582,0.05822784810126582,0.6126582278481013,0.035443037974683546,0.23544303797468355,0.09620253164556962,CDE CDEnroll2324 TK-5
488,6040851,Sloat (Commodore) Elementary,381,0.031496062992125984,0.2099737532808399,0.5275590551181102,0.10761154855643044,0.12335958005249344,0.13910761154855644,CDE CDEnroll2324 TK-5
490,6040877,Lau (Gordon J.) Elementary,650,0.004615384615384616,0.007692307692307693,0.8876923076923077,0.05384615384615385,0.046153846153846156,0.05846153846153846,CDE CDEnroll2324 TK-5
493,6093488,San Francisco Community Alternative,181,0.08287292817679558,0.23756906077348067,0.09944751381215469,0.425414364640884,0.15469613259668508,0.5082872928176796,CDE CDEnroll2324 TK-5
497,6040893,Webster (Daniel) Elementary,356,0.06460674157303371,0.29775280898876405,0.08707865168539326,0.41292134831460675,0.13764044943820225,0.4803370786516854,CDE CDEnroll2324 TK-5
505,6040919,Milk (Harvey) Civil Rights Elementary,154,0.14285714285714285,0.45454545454545453,0.006493506493506494,0.2077922077922078,0.18831168831168832,0.36363636363636365,CDE CDEnroll2324 TK-5
507,6104673,Drew (Charles) College Preparatory Academy,187,0.5401069518716578,0.0,0.026737967914438502,0.3155080213903743,0.11764705882352941,0.8823529411764706,CDE CDEnroll2324 TK-5
509,0120386,Chinese Immersion School at DeAvila,382,0.010471204188481676,0.041884816753926704,0.756544502617801,0.049738219895287955,0.14136125654450263,0.060209424083769635,CDE CDEnroll2324 TK-5
513,6040943,Taylor (Edward R.) Elementary,588,0.027210884353741496,0.003401360544217687,0.5544217687074829,0.3520408163265306,0.06292517006802721,0.3843537414965986,CDE CDEnroll2324 TK-5
521,6040950,El Dorado Elementary,123,0.17073170731707318,0.032520325203252036,0.11382113821138211,0.45528455284552843,0.22764227642276422,0.7317073170731707,CDE CDEnroll2324 TK-5
525,6040968,Cobb (William L.) Elementary,137,0.32116788321167883,0.12408759124087591,0.072992700729927,0.32116788321167883,0.16058394160583941,0.6496350364963503,CDE CDEnroll2324 TK-5
537,6040984,Huerta (Dolores) Elementary,381,0.013123359580052493,0.1784776902887139,0.023622047244094488,0.6981627296587927,0.08661417322834646,0.7112860892388452,CDE CDEnroll2324 TK-5
539,0111427,Feinstein (Dianne) Elementary,383,0.02349869451697128,0.33159268929503916,0.3838120104438642,0.10443864229765012,0.1566579634464752,0.1279373368146214,CDE CDEnroll2324 TK-5
544,6041008,Key (Francis Scott) Elementary,562,0.0035587188612099642,0.28825622775800713,0.46441281138790036,0.099644128113879,0.14412811387900357,0.10320284697508897,CDE CDEnroll2324 TK-5
549,6041016,McCoppin (Frank) Elementary,242,0.024793388429752067,0.2396694214876033,0.32644628099173556,0.19008264462809918,0.2190082644628099,0.2231404958677686,CDE CDEnroll2324 TK-5
562,6041040,Garfield Elementary,191,0.09424083769633508,0.08900523560209424,0.43455497382198954,0.17277486910994763,0.2094240837696335,0.2670157068062827,CDE CDEnroll2324 TK-5
569,6041065,Peabody (George) Elementary,270,0.011111111111111112,0.37407407407407406,0.28888888888888886,0.1,0.22592592592592592,0.11481481481481481,CDE CDEnroll2324 TK-5
575,6041073,Glen Park Elementary,321,0.06230529595015576,0.2523364485981308,0.04672897196261682,0.4984423676012461,0.14018691588785046,0.5638629283489096,CDE CDEnroll2324 TK-5
589,6041115,Grattan Elementary,384,0.041666666666666664,0.4869791666666667,0.08333333333333333,0.15364583333333334,0.234375,0.1953125,CDE CDEnroll2324 TK-5
593,6041123,Guadalupe Elementary,279,0.014336917562724014,0.025089605734767026,0.15770609318996415,0.7311827956989247,0.07168458781362007,0.7634408602150538,CDE CDEnroll2324 TK-5
603,6041149,Chavez (Cesar) Elementary,411,0.0267639902676399,0.014598540145985401,0.0,0.9075425790754258,0.051094890510948905,0.9367396593673966,CDE CDEnroll2324 TK-5
614,6041156,Hillcrest Elementary,328,0.0975609756097561,0.006097560975609756,0.18597560975609756,0.6432926829268293,0.06707317073170732,0.7530487804878049,CDE CDEnroll2324 TK-5
618,6062046,Buena Vista/ Horace Mann K-8,392,0.00510204081632653,0.05612244897959184,0.0,0.8979591836734694,0.04081632653061224,0.9030612244897959,CDE CDEnroll2324 TK-5
625,6093496,Carver (George Washington) Elementary,97,0.5257731958762887,0.0,0.0,0.23711340206185566,0.23711340206185566,0.9278350515463918,CDE CDEnroll2324 TK-5
638,6041206,Parker (Jean) Elementary,125,0.096,0.048,0.648,0.112,0.096,0.216,CDE CDEnroll2324 TK-5
644,6041230,Jefferson Elementary,502,0.00796812749003984,0.2151394422310757,0.5278884462151394,0.08167330677290836,0.16733067729083664,0.08964143426294821,CDE CDEnroll2324 TK-5
650,6041255,Muir (John) Elementary,226,0.20353982300884957,0.0752212389380531,0.017699115044247787,0.6194690265486725,0.084070796460177,0.827433628318584,CDE CDEnroll2324 TK-5
656,6041289,Serra (Junipero) Elementary,260,0.046153846153846156,0.038461538461538464,0.09230769230769231,0.7192307692307692,0.10384615384615385,0.7769230769230769,CDE CDEnroll2324 TK-5
664,6041305,Lafayette Elementary,474,0.014767932489451477,0.2489451476793249,0.39029535864978904,0.1308016877637131,0.21518987341772153,0.14978902953586498,CDE CDEnroll2324 TK-5
670,6041321,Lakeshore Alternative Elementary,421,0.14014251781472684,0.14014251781472684,0.35629453681710216,0.19477434679334918,0.16864608076009502,0.33966745843230406,CDE CDEnroll2324 TK-5
676,6041339,Lawton Alternative,400,0.0125,0.0475,0.78,0.0425,0.1175,0.055,CDE CDEnroll2324 TK-5
680,6041347,Flynn (Leonard R.) Elementary,383,0.11488250652741515,0.1671018276762402,0.018276762402088774,0.5587467362924282,0.1409921671018277,0.6788511749347258,CDE CDEnroll2324 TK-5
691,6041362,Longfellow Elementary,454,0.015418502202643172,0.024229074889867842,0.33259911894273125,0.5352422907488987,0.09251101321585903,0.5638766519823789,CDE CDEnroll2324 TK-5
714,6041412,Marshall Elementary,247,0.020242914979757085,0.0931174089068826,0.012145748987854251,0.8421052631578947,0.032388663967611336,0.8663967611336032,CDE CDEnroll2324 TK-5
718,6041420,McKinley Elementary,247,0.06882591093117409,0.4534412955465587,0.0931174089068826,0.20242914979757085,0.18218623481781376,0.27125506072874495,CDE CDEnroll2324 TK-5
722,6041438,Miraloma Elementary,350,0.022857142857142857,0.41714285714285715,0.15428571428571428,0.1742857142857143,0.23142857142857143,0.2,CDE CDEnroll2324 TK-5
723,6099154,Moscone (George R.) Elementary,352,0.022727272727272728,0.02556818181818182,0.2727272727272727,0.6136363636363636,0.06534090909090909,0.6363636363636364,CDE CDEnroll2324 TK-5
724,6089585,Mission Education Center,124,0.008064516129032258,0.0967741935483871,0.0,0.7983870967741935,0.0967741935483871,0.8064516129032258,CDE CDEnroll2324 TK-5
729,6041446,Monroe Elementary,522,0.009578544061302681,0.028735632183908046,0.39846743295019155,0.5057471264367817,0.05747126436781609,0.5153256704980843,CDE CDEnroll2324 TK-5
735,6097919,New Traditions Elementary,254,0.05511811023622047,0.49606299212598426,0.07480314960629922,0.15354330708661418,0.2204724409448819,0.21653543307086615,CDE CDEnroll2324 TK-5
746,6041271,Ortega (Jose) Elementary,374,0.0481283422459893,0.0481283422459893,0.6524064171122995,0.11764705882352941,0.13368983957219252,0.16844919786096257,CDE CDEnroll2324 TK-5
750,6113997,Sunset Elementary,403,0.007444168734491315,0.1761786600496278,0.5682382133995038,0.06451612903225806,0.18362282878411912,0.07196029776674938,CDE CDEnroll2324 TK-5
760,6041487,Revere (Paul) Elementary,299,0.0903010033444816,0.020066889632107024,0.06354515050167224,0.745819397993311,0.0802675585284281,0.8561872909698997,CDE CDEnroll2324 TK-5
782,6041529,Stevenson (Robert Louis) Elementary,438,0.00228310502283105,0.0821917808219178,0.7328767123287672,0.0593607305936073,0.1232876712328767,0.0639269406392694,CDE CDEnroll2324 TK-5
786,6041503,Parks (Rosa) Elementary,344,0.19476744186046513,0.09593023255813954,0.18023255813953487,0.2616279069767442,0.26744186046511625,0.4680232558139535,CDE CDEnroll2324 TK-5
790,6041511,Redding Elementary,246,0.08943089430894309,0.3130081300813008,0.23170731707317074,0.23983739837398374,0.12601626016260162,0.34146341463414637,CDE CDEnroll2324 TK-5
796,6089775,Rooftop Elementary,378,0.1111111111111111,0.3439153439153439,0.10052910052910052,0.21693121693121692,0.2275132275132275,0.335978835978836,CDE CDEnroll2324 TK-5
801,6041131,Yick Wo Elementary,199,0.05527638190954774,0.23115577889447236,0.33668341708542715,0.1306532663316583,0.24623115577889448,0.18592964824120603,CDE CDEnroll2324 TK-5
814,0123117,San Francisco Public Montessori,112,0.14285714285714285,0.26785714285714285,0.05357142857142857,0.26785714285714285,0.26785714285714285,0.42857142857142855,CDE CDEnroll2324 TK-5
816,6041545,Sanchez Elementary,275,0.06909090909090909,0.06181818181818182,0.06545454545454546,0.7418181818181818,0.06181818181818182,0.8218181818181818,CDE CDEnroll2324 TK-5
820,6041560,Sheridan Elementary,190,0.15789473684210525,0.05789473684210526,0.21578947368421053,0.4105263157894737,0.15789473684210525,0.5789473684210527,CDE CDEnroll2324 TK-5
823,6041578,Sherman Elementary,282,0.09219858156028368,0.3546099290780142,0.1702127659574468,0.1879432624113475,0.1950354609929078,0.2907801418439716,CDE CDEnroll2324 TK-5
830,6041586,Malcolm X Academy,105,0.6190476190476191,0.01904761904761905,0.009523809523809525,0.08571428571428572,0.26666666666666666,0.7523809523809524,CDE CDEnroll2324 TK-5
834,6041594,Spring Valley Elementary,214,0.03271028037383177,0.0514018691588785,0.26635514018691586,0.5981308411214953,0.0514018691588785,0.6355140186915887,CDE CDEnroll2324 TK-5
838,6041602,King (Thomas Starr) Elementary,335,0.11044776119402985,0.11044776119402985,0.31044776119402984,0.14925373134328357,0.3194029850746269,0.28059701492537314,CDE CDEnroll2324 TK-5
842,6041610,Sunnyside Elementary,350,0.025714285714285714,0.38571428571428573,0.18857142857142858,0.21142857142857144,0.18857142857142858,0.2571428571428571,CDE CDEnroll2324 TK-5
848,6041644,Sutro Elementary,248,0.012096774193548387,0.0967741935483871,0.7338709677419355,0.06048387096774194,0.0967741935483871,0.07258064516129033,CDE CDEnroll2324 TK-5
859,6115901,Tenderloin Community,278,0.09352517985611511,0.11151079136690648,0.17266187050359713,0.5179856115107914,0.10431654676258993,0.6187050359712231,CDE CDEnroll2324 TK-5
862,6041685,Ulloa Elementary,521,0.007677543186180422,0.04798464491362764,0.7927063339731286,0.061420345489443376,0.09021113243761997,0.0710172744721689,CDE CDEnroll2324 TK-5
867,6041701,Visitacion Valley Elementary,263,0.08745247148288973,0.022813688212927757,0.46387832699619774,0.27756653992395436,0.1482889733840304,0.4372623574144487,CDE CDEnroll2324 TK-5
872,6113252,Chin (John Yehall) Elementary,253,0.007905138339920948,0.05928853754940711,0.8458498023715415,0.043478260869565216,0.043478260869565216,0.05138339920948617,CDE CDEnroll2324 TK-5
876,6041727,West Portal Elementary,590,0.015254237288135594,0.1694915254237288,0.6,0.07288135593220339,0.1423728813559322,0.08813559322033898,CDE CDEnroll2324 TK-5
