enrolled_idschool,resolved_ethnicity,AALPI Score,freelunch_prob,reducedlunch_prob,median_hh_income
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
413,Chinese,0.0,0.0,0.0,120000.0
